iter	Passed	Remaining
0	194	97189
1	325	80981
2	452	74978
3	568	70518
4	678	67157
5	792	65280
6	900	63431
7	1008	62041
8	1151	62831
9	1266	62044
10	1371	60977
11	1570	63863
12	1681	63008
13	1830	63552
14	1946	62936
15	2046	61891
16	2140	60825
17	2239	59969
18	2338	59188
19	2427	58252
20	2519	57469
21	2608	56678
22	2701	56027
23	2788	55311
24	2881	54741
25	2998	54663
26	3114	54555
27	3224	54360
28	3318	53895
29	3407	53382
30	3500	52960
31	3594	52571
32	3682	52116
33	3771	51697
34	3865	51355
35	3959	51028
36	4063	50851
37	4177	50788
38	4291	50730
39	4383	50409
40	4474	50091
41	4561	49738
42	4649	49416
43	4773	49468
44	4909	49643
45	5017	49518
46	5112	49271
47	5244	49382
48	5339	49142
49	5435	48915
50	5539	48771
51	5634	48546
52	5725	48285
53	5834	48190
54	5923	47928
55	6013	47675
56	6110	47492
57	6200	47250
58	6290	47016
59	6381	46796
60	6532	47015
61	6687	47245
62	6829	47371
63	7003	47709
64	7099	47509
65	7219	47474
66	7308	47235
67	7402	47026
68	7491	46797
69	7579	46558
70	7671	46352
71	7778	46240
72	7886	46130
73	7983	45958
74	8071	45738
75	8156	45504
76	8245	45296
77	8336	45101
78	8422	44883
79	8510	44677
80	8595	44461
81	8681	44255
82	8767	44047
83	8848	43820
84	8942	43662
85	9031	43475
86	9114	43268
87	9200	43076
88	9282	42866
89	9366	42667
90	9449	42468
91	9531	42269
92	9613	42072
93	9698	41887
94	9782	41705
95	9864	41512
96	9959	41378
97	10054	41244
98	10167	41184
99	10269	41079
100	10368	40959
101	10512	41020
102	10650	41050
103	10744	40913
104	10832	40750
105	10933	40637
106	11019	40475
107	11106	40312
108	11194	40155
109	11289	40024
110	11379	39877
111	11464	39716
112	11564	39607
113	11655	39466
114	11822	39579
115	11908	39421
116	11999	39281
117	12088	39134
118	12205	39076
119	12287	38911
120	12369	38745
121	12454	38587
122	12536	38426
123	12620	38267
124	12704	38114
125	12794	37978
126	12891	37863
127	12975	37710
128	13063	37570
129	13149	37426
130	13233	37274
131	13324	37145
132	13405	36992
133	13488	36840
134	13572	36695
135	13658	36556
136	13749	36430
137	13846	36323
138	13932	36183
139	14017	36044
140	14100	35900
141	14185	35764
142	14269	35624
143	14358	35496
144	14444	35364
145	14533	35239
146	14619	35107
147	14704	34973
148	14832	34941
149	14964	34917
150	15076	34846
151	15164	34717
152	15253	34594
153	15412	34629
154	15507	34516
155	15603	34408
156	15702	34306
157	15796	34191
158	15893	34087
159	15984	33967
160	16073	33843
161	16163	33724
162	16250	33598
163	16343	33483
164	16437	33372
165	16533	33265
166	16625	33150
167	16714	33030
168	16824	32953
169	17297	33578
170	17431	33537
171	17568	33503
172	17677	33413
173	17866	33473
174	18079	33576
175	18364	33807
176	18677	34084
177	18851	34101
178	18970	34020
179	19119	33991
180	19214	33864
181	19312	33744
182	19455	33701
183	19574	33617
184	19664	33482
185	19751	33343
186	19833	33196
187	19918	33055
188	20011	32929
189	20110	32811
190	20213	32701
191	20311	32583
192	20420	32481
193	20558	32427
194	20730	32425
195	20875	32378
196	21009	32313
197	21190	32320
198	21351	32296
199	21521	32282
200	21651	32207
201	21821	32192
202	21924	32076
203	22029	31965
204	22133	31851
205	22242	31744
206	22348	31633
207	22461	31531
208	22569	31424
209	22678	31317
210	22824	31262
211	22928	31148
212	23038	31042
213	23183	30984
214	23359	30964
215	23454	30837
216	23552	30715
217	23644	30585
218	23746	30469
219	23925	30450
220	24042	30351
221	24164	30260
222	24269	30146
223	24364	30020
224	24492	29935
225	24614	29842
226	24707	29714
227	24800	29586
228	24887	29451
229	24970	29312
230	25067	29190
231	25321	29251
232	25483	29202
233	25725	29243
234	25854	29155
235	25951	29030
236	26092	28954
237	26212	28855
238	26308	28729
239	26448	28652
240	26576	28561
241	26676	28440
242	26824	28370
243	26930	28255
244	27036	28139
245	27147	28030
246	27244	27906
247	27369	27811
248	27489	27710
249	27579	27579
250	27709	27489
251	27808	27367
252	27899	27237
253	27999	27117
254	28106	27003
255	28216	26893
256	28323	26780
257	28547	26777
258	28685	26691
259	28803	26587
260	28917	26480
261	29049	26388
262	29165	26281
263	29271	26167
264	29406	26077
265	29549	25995
266	29661	25884
267	29771	25772
268	29892	25670
269	30001	25557
270	30115	25447
271	30222	25333
272	30330	25219
273	30436	25104
274	30557	25001
275	30688	24906
276	30893	24870
277	31081	24820
278	31297	24791
279	31442	24705
280	31591	24621
281	31728	24527
282	31902	24461
283	32033	24363
284	32155	24257
285	32264	24142
286	32424	24064
287	32531	23946
288	32649	23837
289	32776	23734
290	32887	23619
291	32987	23497
292	33075	23367
293	33163	23237
294	33265	23116
295	33376	23002
296	33489	22890
297	33647	22808
298	33754	22691
299	33877	22585
300	33983	22467
301	34088	22349
302	34197	22233
303	34299	22114
304	34397	21991
305	34494	21869
306	34614	21760
307	34722	21644
308	34825	21526
309	34930	21409
310	35017	21280
311	35107	21154
312	35209	21035
313	35385	20960
314	35490	20843
315	35596	20726
316	35702	20610
317	35789	20483
318	35877	20357
319	35978	20237
320	36078	20118
321	36181	20000
322	36283	19882
323	36377	19760
324	36478	19642
325	36645	19559
326	36740	19437
327	36852	19325
328	36955	19207
329	37048	19085
330	37154	18969
331	37253	18851
332	37371	18741
333	37494	18634
334	37586	18512
335	37683	18393
336	37778	18272
337	37871	18151
338	37966	18031
339	38051	17906
340	38142	17784
341	38228	17661
342	38318	17539
343	38404	17416
344	38492	17293
345	38577	17170
346	38673	17051
347	38773	16935
348	38881	16822
349	38971	16701
350	39058	16580
351	39151	16461
352	39240	16341
353	39341	16225
354	39448	16112
355	39549	15997
356	39645	15880
357	39737	15761
358	39832	15644
359	39919	15524
